target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.7193311619758607,15.170172462876248
0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.28387394657841436,0.3080630832248264,2.8484518933296203,17.26103921574315
0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.4798513341833044,0.5100743329083478,3.9290701603889464,50.85966434519592
0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.680741204155816,0.7096293414080584,12.251956214904785,209390.50130505674
0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7839561744972512,0.808021969265408,15.137339029312134,3750272.377512232
0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8884345160590278,0.9057827702275029,16.492027549743653,14534381.661818568
0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9413113064236112,0.9543442902741609,16.6045041847229,16264643.260956006
