target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.395863080024719,10.977668578052361
0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.48566465024594907,0.5071676748770254,2.45560485124588,11.65348003954607
0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.686913666901765,0.706543110035084,2.906614303588867,18.29475311279413
0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7898195054796007,0.8050903037742332,3.7721288442611693,43.47251260646527
