run_name,method,seed,tokens_seen,iter,train_loss,train_objective,val_loss,ppl,lr,elapsed_sec,max_cuda_memory,tokens_per_sec
dense-lr3e-4-seed0,dense,0,327680,10,8.636247217655182,8.636247217655182,,,5.9999999999999995e-05,5.64637469034642,754580992,58033.69736695529
dense-lr3e-4-seed0,dense,0,655360,20,7.918176847696304,7.918176847696304,,,0.00011999999999999999,10.58213528804481,754580992,66388.95738841171
dense-lr3e-4-seed0,dense,0,983040,30,7.174258449673653,7.174258449673653,,,0.00017999999999999998,15.662650589831173,754580992,64497.39456247366
dense-lr3e-4-seed0,dense,0,1310720,40,6.283147394657135,6.283147394657135,,,0.00023999999999999998,20.729546275921166,754580992,64670.761014396005
dense-lr3e-4-seed0,dense,0,1638400,50,5.47480456829071,5.47480456829071,,,0.0003,25.794687843881547,754580992,64693.15725995579
dense-lr3e-4-seed0,dense,0,1966080,60,4.91720509827137,4.91720509827137,,,0.0002998285762933067,30.86783810891211,754580992,64591.02981015799
dense-lr3e-4-seed0,dense,0,2293760,70,4.540376529097557,4.540376529097557,,,0.0002992365594184121,35.94636671524495,754580992,64522.625626522735
dense-lr3e-4-seed0,dense,0,2621440,80,4.268276496231556,4.268276496231556,,,0.0002982236886618577,41.02917069941759,754580992,64468.3527085372
dense-lr3e-4-seed0,dense,0,2949120,90,4.061971907317639,4.061971907317639,,,0.00029679313954148584,46.09268868342042,754580992,64713.90069813899
dense-lr3e-4-seed0,dense,0,3276800,100,3.9017757952213286,3.9017757952213286,3.8447014331817626,46.744725843177875,0.0002949493970660959,51.80430907569826,754580992,57370.75952089294
dense-lr3e-4-seed0,dense,0,3604480,110,3.761215554177761,3.761215554177761,,,0.0002926982416741983,57.027820559218526,754580992,62731.74683999495
dense-lr3e-4-seed0,dense,0,3932160,120,3.651658283174038,3.651658283174038,,,0.0002900467311113804,62.10323780309409,754580992,64562.17967013589
dense-lr3e-4-seed0,dense,0,4259840,130,3.558268542587757,3.558268542587757,,,0.00028700317830310343,67.1889664363116,754580992,64431.27890461027
dense-lr3e-4-seed0,dense,0,4587520,140,3.43957534134388,3.43957534134388,,,0.0002835771252923023,72.26763245929033,754580992,64520.879797449285
dense-lr3e-4-seed0,dense,0,4915200,150,3.39375177025795,3.39375177025795,,,0.00027977931332349786,77.33586346264929,754580992,64653.72233089429
dense-lr3e-4-seed0,dense,0,5242880,160,3.3170267581939696,3.3170267581939696,,,0.000275621649167214,82.40487853903323,754580992,64643.72172152919
dense-lr3e-4-seed0,dense,0,5570560,170,3.2809201776981354,3.2809201776981354,,,0.0002711171677902763,87.47471924033016,754580992,64633.19447417264
dense-lr3e-4-seed0,dense,0,5898240,180,3.20922379642725,3.20922379642725,,,0.000266279991489029,92.55117380898446,754580992,64548.98700824258
dense-lr3e-4-seed0,dense,0,6225920,190,3.1738908722996713,3.1738908722996713,,,0.0002611252856135935,97.60481162834913,754580992,64840.42025021795
dense-lr3e-4-seed0,dense,0,6553600,200,3.0970064878463743,3.0970064878463743,3.136613063812256,23.025747902618637,0.00025566921102197955,103.2217006823048,754580992,58338.34296036745
dense-lr3e-4-seed0,dense,0,6881280,210,3.06718829870224,3.06718829870224,,,0.00024992887341311485,108.50611998327076,754580992,62008.70546742984
dense-lr3e-4-seed0,dense,0,7208960,220,3.045860031247139,3.045860031247139,,,0.00024392226969764143,113.57345566432923,754580992,64665.145675045176
dense-lr3e-4-seed0,dense,0,7536640,230,3.0182112872600557,3.0182112872600557,,,0.00023766823157461491,118.64896814711392,754580992,64560.968200046234
dense-lr3e-4-seed0,dense,0,7864320,240,2.974764162302017,2.974764162302017,,,0.00023118636649100457,123.71986832469702,754580992,64619.690493726
dense-lr3e-4-seed0,dense,0,8192000,250,2.9351995930075647,2.9351995930075647,,,0.00022449699616909418,128.77479904610664,754580992,64823.83598496145
dense-lr3e-4-seed0,dense,0,8519680,260,2.901967319846153,2.901967319846153,,,0.00021762109289451167,133.8397898040712,754580992,64695.083497385
dense-lr3e-4-seed0,dense,0,8847360,270,2.9065384939312935,2.9065384939312935,,,0.00021058021376463477,138.89724703133106,754580992,64791.45255718489
dense-lr3e-4-seed0,dense,0,9175040,280,2.878087905049324,2.878087905049324,,,0.00020339643310351448,143.96640305127949,754580992,64641.92435791985
dense-lr3e-4-seed0,dense,0,9502720,290,2.863038291037083,2.863038291037083,,,0.00019609227325520772,149.0382794532925,754580992,64607.2526274389
dense-lr3e-4-seed0,dense,0,9830400,300,2.831005094945431,2.831005094945431,2.864773488044739,17.545078584398727,0.00018869063397249216,154.67073966003954,754580992,58177.06436833342
dense-lr3e-4-seed0,dense,0,10158080,310,2.8073806539177895,2.8073806539177895,,,0.000181214720622343,159.92422951757908,754580992,62373.77607757837
dense-lr3e-4-seed0,dense,0,10485760,320,2.774725557863712,2.774725557863712,,,0.0001736879714332576,164.99129051156342,754580992,64668.65119425728
