run_name,method,selected_for_method,seed,learning_rate,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,checkpoint_best_val_loss,target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.608782968521118,13.582510446000207
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.29970748336226855,0.30014631483289933,2.680074417591095,14.586178723776728
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.489995038067853,0.5050024809660735,3.4759198141098024,32.327550202122765
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6801664564344618,0.7099167152687356,9.855005702972413,19053.492612181904
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7820428918909144,0.8089786105685763,12.943036222457886,417916.20397788804
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8890372382269965,0.9054814091435185,14.203520956039428,1474045.1114403044
dense-lr3e-4-seed0,dense,no,0,0.0003,,,,,,2.59935326576,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.943624425817419,0.9531877305772569,14.2496617603302,1543652.2543447916
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.343026592731476,10.41270393329307
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.3038400720666956,0.29808002048068577,2.3820745515823365,10.827341459228775
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.49790700276692706,0.5010464986165365,2.693883273601532,14.788994268034646
