cr,acc,ckpt_path,ckpt_time
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
inf,10.0,runs/resnet18-ell-cifar10/K2.25_M1.25/checkpoints/model_best.pth,Fri Jul 10 07:30:41 2026
