target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,3.704965150356293,40.6486307018975
0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.4798256202980324,0.5100871898509838,3.7508954882621763,42.55917618379043
0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6845293398256656,0.7077352735731337,4.1958208084106445,66.40821763649991
0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7898048118308738,0.8050976505985966,4.675575470924377,107.29429407589102
