target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.7453137540817263,15.569498159519352
0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.2848324245876736,0.30758384422019674,2.8757227754592893,17.738240254057256
0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.48110425030743637,0.5094478748462818,4.35312313079834,77.72081655307838
0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6813484474464699,0.7093257197627315,13.38626007080078,650996.8424038161
0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7838465372721354,0.8080767878779659,15.439883069992066,5075233.389898619
0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8875975432219328,0.9062012566460503,16.274697914123536,11695303.560799494
0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9403514155635128,0.95482423570421,16.34741367340088,12577419.655856606
